"id","file_name","data_category","platform","file_id","experimental_strategy","project","Sample_Label","Array","Slide","Basename"
"e59ec05d-ba53-4fe5-b1f1-9e4c073f95c1","6285633040_R05C01_Grn.idat","Raw microarray data","Illumina Human Methylation 450","e59ec05d-ba53-4fe5-b1f1-9e4c073f95c1","Methylation array","TCGA-LUSC","Primary_Tumor","R05C01","6285633040","./GDCdata/TCGA-LUSC/legacy/Raw_microarray_data/Raw_intensities/6285633040_R05C01"
"7ee1a23c-c3a6-4db5-b3d2-159d3858749d","6042308078_R03C01_Red.idat","Raw microarray data","Illumina Human Methylation 450","7ee1a23c-c3a6-4db5-b3d2-159d3858749d","Methylation array","TCGA-LUSC","Primary_Tumor","R03C01","6042308078","./GDCdata/TCGA-LUSC/legacy/Raw_microarray_data/Raw_intensities/6042308078_R03C01"
"1ca9a164-7881-4b5e-bb28-29d218282f6d","6057825048_R06C01_Red.idat","Raw microarray data","Illumina Human Methylation 450","1ca9a164-7881-4b5e-bb28-29d218282f6d","Methylation array","TCGA-LUSC","Primary_Tumor","R06C01","6057825048","./GDCdata/TCGA-LUSC/legacy/Raw_microarray_data/Raw_intensities/6057825048_R06C01"
"2ca30a89-1439-4cf0-9d94-650b40363039","6057825101_R03C01_Red.idat","Raw microarray data","Illumina Human Methylation 450","2ca30a89-1439-4cf0-9d94-650b40363039","Methylation array","TCGA-LUSC","Primary_Tumor","R03C01","6057825101","./GDCdata/TCGA-LUSC/legacy/Raw_microarray_data/Raw_intensities/6057825101_R03C01"
"467cae65-b653-4cdc-b906-ff250cf857f2","7786923090_R05C02_Red.idat","Raw microarray data","Illumina Human Methylation 450","467cae65-b653-4cdc-b906-ff250cf857f2","Methylation array","TCGA-LUSC","Primary_Tumor","R05C02","7786923090","./GDCdata/TCGA-LUSC/legacy/Raw_microarray_data/Raw_intensities/7786923090_R05C02"
"46842c4f-eb32-49ad-b83b-6a5d1c0c9463","6042316106_R02C02_Red.idat","Raw microarray data","Illumina Human Methylation 450","46842c4f-eb32-49ad-b83b-6a5d1c0c9463","Methylation array","TCGA-LUSC","Solid_Tissue Normal","R02C02","6042316106","./GDCdata/TCGA-LUSC/legacy/Raw_microarray_data/Raw_intensities/6042316106_R02C02"
"63aef98d-680d-48e9-86dd-363f0ed424e2","6057825048_R02C01_Red.idat","Raw microarray data","Illumina Human Methylation 450","63aef98d-680d-48e9-86dd-363f0ed424e2","Methylation array","TCGA-LUSC","Primary_Tumor","R02C01","6057825048","./GDCdata/TCGA-LUSC/legacy/Raw_microarray_data/Raw_intensities/6057825048_R02C01"
"0fbe0090-2355-40cc-924a-d46259495edb","6929742070_R01C02_Grn.idat","Raw microarray data","Illumina Human Methylation 450","0fbe0090-2355-40cc-924a-d46259495edb","Methylation array","TCGA-LUSC","Primary_Tumor","R01C02","6929742070","./GDCdata/TCGA-LUSC/legacy/Raw_microarray_data/Raw_intensities/6929742070_R01C02"
"09f87713-c217-49ac-9241-38e7f099d04c","9305216121_R04C01_Grn.idat","Raw microarray data","Illumina Human Methylation 450","09f87713-c217-49ac-9241-38e7f099d04c","Methylation array","TCGA-LUSC","Primary_Tumor","R04C01","9305216121","./GDCdata/TCGA-LUSC/legacy/Raw_microarray_data/Raw_intensities/9305216121_R04C01"
"2bac4888-9274-43ee-8c26-2f41d6bbe242","3999492078_R02C02_Red.idat","Raw microarray data","Illumina Human Methylation 450","2bac4888-9274-43ee-8c26-2f41d6bbe242","Methylation array","TCGA-LUSC","Primary_Tumor","R02C02","3999492078","./GDCdata/TCGA-LUSC/legacy/Raw_microarray_data/Raw_intensities/3999492078_R02C02"
"bf1ee462-233e-4e33-bb2a-0d4a8d7a4219","6042308087_R04C01_Red.idat","Raw microarray data","Illumina Human Methylation 450","bf1ee462-233e-4e33-bb2a-0d4a8d7a4219","Methylation array","TCGA-LUSC","Primary_Tumor","R04C01","6042308087","./GDCdata/TCGA-LUSC/legacy/Raw_microarray_data/Raw_intensities/6042308087_R04C01"
"f87d6f4a-93f8-49b8-b0ac-ae16effe7e13","6285633079_R05C02_Grn.idat","Raw microarray data","Illumina Human Methylation 450","f87d6f4a-93f8-49b8-b0ac-ae16effe7e13","Methylation array","TCGA-LUSC","Primary_Tumor","R05C02","6285633079","./GDCdata/TCGA-LUSC/legacy/Raw_microarray_data/Raw_intensities/6285633079_R05C02"
"7246d001-a5df-48a2-8b56-d22510b448c1","8784225054_R05C02_Red.idat","Raw microarray data","Illumina Human Methylation 450","7246d001-a5df-48a2-8b56-d22510b448c1","Methylation array","TCGA-LUSC","Primary_Tumor","R05C02","8784225054","./GDCdata/TCGA-LUSC/legacy/Raw_microarray_data/Raw_intensities/8784225054_R05C02"
"f816cae3-d0fc-4f47-ba34-72178e309926","6285633083_R05C01_Grn.idat","Raw microarray data","Illumina Human Methylation 450","f816cae3-d0fc-4f47-ba34-72178e309926","Methylation array","TCGA-LUSC","Primary_Tumor","R05C01","6285633083","./GDCdata/TCGA-LUSC/legacy/Raw_microarray_data/Raw_intensities/6285633083_R05C01"
"f943b12a-23a4-4fd7-a2d2-f2a8684f5f30","6929742073_R04C01_Red.idat","Raw microarray data","Illumina Human Methylation 450","f943b12a-23a4-4fd7-a2d2-f2a8684f5f30","Methylation array","TCGA-LUSC","Primary_Tumor","R04C01","6929742073","./GDCdata/TCGA-LUSC/legacy/Raw_microarray_data/Raw_intensities/6929742073_R04C01"
"06bccc82-f3a3-41aa-a799-2135c3afa8e2","9305216121_R05C01_Grn.idat","Raw microarray data","Illumina Human Methylation 450","06bccc82-f3a3-41aa-a799-2135c3afa8e2","Methylation array","TCGA-LUSC","Primary_Tumor","R05C01","9305216121","./GDCdata/TCGA-LUSC/legacy/Raw_microarray_data/Raw_intensities/9305216121_R05C01"
"b47d6528-7040-4b28-99ee-7279eb4766c6","6929742075_R03C01_Red.idat","Raw microarray data","Illumina Human Methylation 450","b47d6528-7040-4b28-99ee-7279eb4766c6","Methylation array","TCGA-LUSC","Primary_Tumor","R03C01","6929742075","./GDCdata/TCGA-LUSC/legacy/Raw_microarray_data/Raw_intensities/6929742075_R03C01"
