cases	file_name	project
TCGA-68-8251-01A-11D-2294-05	6285633040_R05C01_Grn.idat	TCGA-LUSC
TCGA-22-5471-01A-01D-1633-05	6042308078_R03C01_Red.idat	TCGA-LUSC
TCGA-46-6025-01A-11D-1818-05	6057825048_R06C01_Red.idat	TCGA-LUSC
TCGA-56-6546-01A-11D-1818-05	6057825101_R03C01_Red.idat	TCGA-LUSC
TCGA-85-8479-01A-11D-2324-05	7786923090_R05C02_Red.idat	TCGA-LUSC
TCGA-43-3394-11A-01D-1551-05	6042316106_R02C02_Red.idat	TCGA-LUSC
TCGA-34-5929-01A-11D-1818-05	6057825048_R02C01_Red.idat	TCGA-LUSC
TCGA-43-7657-01A-31D-2123-05	6929742070_R01C02_Grn.idat	TCGA-LUSC
TCGA-NK-A5CX-01A-11D-A26N-05	9305216121_R04C01_Grn.idat	TCGA-LUSC
TCGA-33-AASB-01A-11D-A408-05	3999492078_R02C02_Red.idat	TCGA-LUSC
TCGA-21-5787-01A-01D-1633-05	6042308087_R04C01_Red.idat	TCGA-LUSC
TCGA-96-7544-01A-11D-2043-05	6285633079_R05C02_Grn.idat	TCGA-LUSC
TCGA-56-8626-01A-11D-2398-05	8784225054_R05C02_Red.idat	TCGA-LUSC
TCGA-77-7337-01A-21D-2043-05	6285633083_R05C01_Grn.idat	TCGA-LUSC
TCGA-56-8626-01A-11D-2398-05	8784225054_R05C02_Grn.idat	TCGA-LUSC
TCGA-85-7699-01A-11D-2123-05	6929742073_R04C01_Red.idat	TCGA-LUSC
TCGA-O2-A52N-01A-11D-A26N-05	9305216121_R05C01_Grn.idat	TCGA-LUSC
TCGA-43-7658-01A-11D-2123-05	6929742075_R03C01_Red.idat	TCGA-LUSC
TCGA-90-A4ED-01A-31D-A258-05	8784241020_R01C01_Red.idat	TCGA-LUSC
TCGA-18-5595-01A-01D-1633-05	6042308087_R03C02_Grn.idat	TCGA-LUSC
TCGA-39-5011-01A-01D-1440-05	6055424084_R06C01_Grn.idat	TCGA-LUSC
TCGA-58-A46M-01A-11D-A24I-05	8784241001_R05C02_Grn.idat	TCGA-LUSC
TCGA-33-6738-01A-11D-1947-05	6264496026_R03C01_Grn.idat	TCGA-LUSC
TCGA-63-A5MH-01A-12D-A27L-05	9283265142_R02C01_Red.idat	TCGA-LUSC
TCGA-77-7142-01A-11D-2043-05	6285633079_R01C01_Red.idat	TCGA-LUSC
TCGA-77-A5FZ-01A-31D-A27L-05	9283265127_R05C02_Red.idat	TCGA-LUSC
TCGA-85-A511-01A-21D-A25R-05	8784241048_R06C02_Red.idat	TCGA-LUSC
TCGA-63-A5M9-01A-11D-A26N-05	9305216133_R02C01_Grn.idat	TCGA-LUSC
TCGA-NK-A5CX-01A-11D-A26N-05	9305216121_R04C01_Red.idat	TCGA-LUSC
TCGA-39-5029-11A-01D-1440-05	6055424054_R02C02_Red.idat	TCGA-LUSC
TCGA-21-5786-01A-01D-1633-05	6042308078_R01C02_Red.idat	TCGA-LUSC
TCGA-77-6842-01A-11D-1947-05	6264496025_R06C01_Grn.idat	TCGA-LUSC
TCGA-43-3394-11A-01D-1551-05	6042316106_R02C02_Grn.idat	TCGA-LUSC
TCGA-77-7463-01A-11D-2043-05	6285633079_R01C02_Grn.idat	TCGA-LUSC
TCGA-77-8145-01A-11D-2245-05	6264488074_R03C02_Red.idat	TCGA-LUSC
TCGA-90-A4EE-01A-11D-A258-05	8784241020_R03C01_Red.idat	TCGA-LUSC
TCGA-33-AASL-01A-11D-A408-05	3999492078_R03C01_Grn.idat	TCGA-LUSC
TCGA-43-5668-11A-01D-1633-05	6042308120_R01C01_Grn.idat	TCGA-LUSC
TCGA-NC-A5HE-01A-11D-A26N-05	9305216133_R03C02_Red.idat	TCGA-LUSC
TCGA-68-7756-01A-11D-2123-05	6929742070_R03C02_Red.idat	TCGA-LUSC
TCGA-22-5485-11A-01D-1633-05	6042308078_R02C01_Grn.idat	TCGA-LUSC
TCGA-56-A4BW-01A-11D-A24I-05	8784241001_R04C02_Grn.idat	TCGA-LUSC
TCGA-77-8131-01A-11D-2245-05	6264488071_R03C02_Grn.idat	TCGA-LUSC
TCGA-NC-A5HM-01A-12D-A26N-05	9305216126_R06C01_Red.idat	TCGA-LUSC
TCGA-77-7142-01A-11D-2043-05	6285633079_R01C01_Grn.idat	TCGA-LUSC
TCGA-39-5011-01A-01D-1440-05	6055424084_R06C01_Red.idat	TCGA-LUSC
